obs_id,zone_id,timestamp,source,value_db,category_tag
O00054,Z07,2023-01-08 18:15:00,sensor,66.12,other
O00055,Z02,2023-01-27 21:37:00,report,70.31,event
O00056,Z04,2023-02-12 22:20:00,sensor,69.31,event
O00057,Z07,2023-01-09 21:41:00,report,51.61,music
O00058,Z06,2023-02-18 02:00:00,report,56.91,other
O00059,Z10,2023-01-07 02:34:00,sensor,63.31,other
O00060,Z05,2023-01-09 11:56:00,sensor,69.76,construction
O00061,Z06,2023-01-19 05:28:00,report,55.21,other
O00062,Z11,2023-02-03 00:42:00,report,58.14,traffic
O00063,Z03,2023-01-17 03:56:00,sensor,48.94,other
O00064,Z03,2023-01-18 09:38:00,sensor,48.04,event
O00065,Z04,2023-02-13 20:54:00,report,68.13,other
O00066,Z08,2023-01-17 01:05:00,report,73.56,event
O00067,Z01,2023-01-01 10:49:00,sensor,59.28,event
O00068,Z03,2023-02-17 14:35:00,report,70.04,other
O00069,Z01,2023-01-08 02:56:00,sensor,63.62,other
O00070,Z01,2023-02-23 11:37:00,sensor,53.55,music
O00071,Z03,2023-01-03 09:23:00,sensor,63.61,event
O00072,Z04,2023-02-13 07:42:00,sensor,75.38,event
O00073,Z09,2023-02-25 13:39:00,sensor,59.64,construction
O00074,Z03,2023-02-21 05:56:00,report,75.65,traffic
O00075,Z03,2023-02-17 10:50:00,report,33.8,construction
O00076,Z05,2023-01-11 22:06:00,report,68.22,traffic
O00077,Z08,2023-01-15 06:52:00,report,60.87,event
O00078,Z05,2023-02-22 07:14:00,sensor,57.01,construction
O00079,Z07,2023-01-22 08:55:00,sensor,60.92,event
O00080,Z06,2023-02-11 16:25:00,report,40.12,traffic
O00081,Z02,2023-01-17 05:37:00,report,57.8,traffic
O00082,Z02,2023-02-08 13:22:00,report,63.57,music
O00083,Z10,2023-02-02 03:24:00,sensor,74.78,event
O00084,Z01,2023-02-15 13:00:00,sensor,54.82,event
O00085,Z07,2023-01-05 21:58:00,report,51.92,other
O00086,Z06,2023-02-12 03:46:00,report,54.98,other
O00087,Z05,2023-02-12 13:20:00,report,69.15,event
O00088,Z09,2023-01-09 06:26:00,report,63.29,construction
O00089,Z10,2023-02-06 09:25:00,sensor,54.7,event
O00090,Z05,2023-01-14 13:50:00,report,65.13,music
O00091,Z08,2023-01-29 21:13:00,report,60.97,construction
O00092,Z11,2023-01-06 09:32:00,report,69.69,traffic
O00093,Z04,2023-02-13 09:14:00,sensor,52.98,construction
O00094,Z01,2023-01-03 07:30:00,sensor,56.72,music
O00095,Z07,2023-02-10 18:12:00,report,56.08,music
O00096,Z07,2023-01-16 04:41:00,sensor,45.36,traffic
O00097,Z07,2023-01-15 05:51:00,report,62.96,traffic
O00098,Z09,2023-01-16 03:29:00,sensor,62.61,music
O00099,Z11,2023-02-03 17:38:00,report,60.05,music
O00100,Z10,2023-02-22 23:57:00,report,57.65,other
O00101,Z08,2023-01-11 23:55:00,report,45.85,music
O00102,Z05,2023-02-18 07:53:00,report,55.79,other
O00103,Z08,2023-02-10 07:17:00,report,56.57,traffic
O00104,Z12,2023-01-19 07:17:00,report,51.98,event
O00105,Z09,2023-01-06 04:09:00,sensor,58.39,music
O00106,Z12,2023-01-10 22:13:00,sensor,64.04,music
O00107,Z07,2023-01-22 17:29:00,report,78.86,traffic
O00108,Z04,2023-02-23 13:24:00,sensor,61.75,other
O00109,Z07,2023-01-31 00:22:00,report,62.58,music
O00110,Z07,2023-02-04 23:47:00,sensor,59.26,music
O00111,Z04,2023-01-18 13:31:00,sensor,40.81,music
O00112,Z06,2023-02-12 21:51:00,report,59.73,construction
O00113,Z08,2023-01-09 19:34:00,sensor,60.6,music
O00114,Z10,2023-02-06 21:01:00,sensor,84.63,music
O00115,Z03,2023-02-25 14:11:00,sensor,58.08,event
O00116,Z07,2023-01-21 06:29:00,report,63.02,event
O00117,Z07,2023-01-18 13:16:00,sensor,59.65,music
O00118,Z01,2023-02-17 17:03:00,report,48.31,construction
O00119,Z11,2023-01-05 20:02:00,sensor,71.43,construction
O00120,Z04,2023-02-23 00:39:00,sensor,67.52,construction
O00121,Z03,2023-01-31 21:07:00,sensor,67.91,music
O00122,Z12,2023-01-17 11:10:00,sensor,50.91,construction
O00123,Z05,2023-01-07 18:01:00,report,74.03,other
O00124,Z11,2023-01-25 12:45:00,sensor,45.98,traffic
O00125,Z10,2023-02-14 20:15:00,sensor,65.87,event
O00126,Z11,2023-02-08 03:50:00,sensor,81.9,event
O00127,Z09,2023-01-28 21:23:00,sensor,50.09,other
O00128,Z11,2023-01-22 00:54:00,report,54.34,music
O00129,Z02,2023-01-28 11:40:00,report,61.0,construction
O00130,Z07,2023-01-12 23:33:00,report,54.97,other
O00131,Z09,2023-02-19 15:29:00,report,44.49,other
O00132,Z05,2023-01-21 07:53:00,sensor,60.69,event
O00133,Z08,2023-01-16 14:36:00,report,49.38,event
O00134,Z01,2023-02-01 10:11:00,report,64.74,construction
O00135,Z06,2023-02-21 08:21:00,report,50.81,other
O00136,Z12,2023-01-18 17:00:00,sensor,75.5,traffic
O00137,Z04,2023-02-16 13:31:00,sensor,52.17,music
O00138,Z11,2023-02-15 15:28:00,sensor,56.78,traffic
O00139,Z05,2023-01-15 12:44:00,sensor,68.14,event
O00140,Z11,2023-02-07 11:30:00,report,47.69,music
O00141,Z12,2023-02-05 10:22:00,report,62.27,event
O00142,Z05,2023-01-17 07:07:00,sensor,73.07,event
O00143,Z02,2023-02-17 17:48:00,sensor,43.93,construction
O00144,Z04,2023-02-17 15:17:00,report,61.85,traffic
O00145,Z04,2023-01-19 07:23:00,sensor,62.6,event
O00146,Z01,2023-02-15 17:08:00,report,67.82,traffic
O00147,Z01,2023-02-05 09:44:00,sensor,47.63,music
O00148,Z02,2023-02-25 00:36:00,report,46.8,music
O00149,Z08,2023-01-29 10:11:00,sensor,65.22,event
O00150,Z08,2023-01-08 02:25:00,report,62.97,traffic
O00151,Z10,2023-02-10 21:03:00,sensor,62.5,construction
O00152,Z10,2023-01-20 02:15:00,sensor,63.46,other
O00153,Z07,2023-02-08 19:50:00,sensor,53.2,other
O00154,Z07,2023-01-29 14:19:00,report,62.32,event
O00155,Z10,2023-02-09 01:39:00,sensor,62.93,construction
O00156,Z11,2023-01-14 08:42:00,sensor,52.86,construction
O00157,Z04,2023-01-12 17:04:00,sensor,78.66,traffic
O00158,Z07,2023-01-29 22:38:00,report,64.74,event
O00159,Z01,2023-01-15 09:45:00,report,48.09,music
O00160,Z02,2023-02-13 07:59:00,report,66.57,other
O00161,Z11,2023-02-21 06:27:00,sensor,50.25,other
O00162,Z04,2023-02-11 04:58:00,report,67.87,construction
O00163,Z02,2023-01-04 05:50:00,report,71.59,other
O00164,Z12,2023-02-22 18:58:00,report,51.79,music
O00165,Z02,2023-01-30 22:19:00,report,69.63,event
O00166,Z09,2023-02-04 15:28:00,sensor,64.13,other
O00167,Z01,2023-01-28 23:20:00,report,68.22,traffic
O00168,Z02,2023-01-15 21:53:00,sensor,78.97,event
O00169,Z10,2023-01-03 05:30:00,report,57.55,event
O00170,Z03,2023-02-07 13:40:00,report,52.46,traffic
O00171,Z08,2023-01-23 13:21:00,report,51.1,traffic
O00172,Z03,2023-01-22 13:44:00,report,51.84,event
O00173,Z11,2023-01-26 17:02:00,report,59.23,traffic
O00174,Z06,2023-01-17 10:07:00,report,63.41,other
O00175,Z01,2023-02-12 17:29:00,report,62.77,traffic
O00176,Z04,2023-02-03 11:39:00,report,68.27,music
O00177,Z01,2023-01-14 08:35:00,sensor,60.13,event
O00178,Z08,2023-02-14 15:07:00,sensor,74.54,other
O00179,Z04,2023-02-15 05:19:00,sensor,57.35,other
O00180,Z07,2023-01-06 07:53:00,sensor,87.2,music
O00181,Z02,2023-02-11 04:31:00,report,66.26,other
O00182,Z12,2023-01-18 13:53:00,report,51.43,music
O00183,Z04,2023-01-30 17:09:00,report,49.29,construction
O00184,Z10,2023-02-02 23:56:00,sensor,64.82,traffic
O00185,Z05,2023-02-19 13:21:00,report,57.77,traffic
O00186,Z05,2023-02-16 09:53:00,report,67.14,construction
O00187,Z08,2023-02-04 15:22:00,report,64.73,other
O00188,Z09,2023-01-25 14:59:00,report,59.27,construction
O00189,Z12,2023-01-16 18:24:00,sensor,51.53,music
O00190,Z01,2023-01-21 23:30:00,report,44.85,music
O00191,Z11,2023-02-20 20:09:00,report,55.53,traffic
O00192,Z03,2023-02-02 18:21:00,sensor,68.56,music
O00193,Z02,2023-02-03 14:00:00,sensor,62.14,music
O00194,Z11,2023-01-10 02:30:00,report,47.54,event
O00195,Z10,2023-02-14 12:41:00,sensor,61.73,event
O00196,Z11,2023-02-24 17:24:00,report,63.85,music
O00197,Z09,2023-01-03 19:04:00,sensor,51.16,event
O00198,Z04,2023-02-17 02:27:00,sensor,61.54,traffic
O00199,Z08,2023-01-11 22:19:00,sensor,60.58,traffic
O00200,Z06,2023-02-20 01:18:00,report,48.57,event
O00201,Z07,2023-01-10 07:33:00,report,63.58,other
O00202,Z11,2023-02-20 05:10:00,sensor,65.61,traffic
O00203,Z10,2023-02-25 12:39:00,sensor,70.83,music
O00204,Z10,2023-01-10 07:29:00,report,70.54,music
O00205,Z05,2023-02-12 00:57:00,report,46.22,event
O00206,Z11,2023-02-04 05:04:00,report,50.62,event
O00207,Z10,2023-01-20 20:27:00,report,65.15,music
O00208,Z05,2023-01-13 12:54:00,report,65.14,traffic
O00209,Z04,2023-01-25 18:22:00,report,65.15,event
O00210,Z01,2023-02-23 21:25:00,report,98.53,traffic
O00211,Z10,2023-02-25 21:49:00,sensor,65.71,other
O00212,Z12,2023-02-01 09:49:00,sensor,71.36,other
O00213,Z06,2023-01-15 20:12:00,report,69.54,construction
O00214,Z11,2023-01-07 20:41:00,sensor,66.51,event
O00215,Z08,2023-01-03 18:23:00,sensor,56.85,traffic
O00216,Z05,2023-01-21 23:26:00,sensor,67.59,construction
O00217,Z03,2023-02-20 17:56:00,report,52.27,other
O00218,Z09,2023-01-18 05:16:00,report,57.63,event
O00219,Z12,2023-02-25 10:51:00,sensor,55.15,music
O00220,Z02,2023-01-10 07:55:00,report,60.82,other
O00221,Z06,2023-01-06 12:00:00,report,83.15,other
O00222,Z02,2023-01-30 11:43:00,report,41.33,other
O00223,Z07,2023-02-22 20:23:00,sensor,66.86,construction
O00224,Z08,2023-01-02 19:56:00,report,43.87,other
O00225,Z04,2023-02-11 02:40:00,report,55.28,event
O00226,Z11,2023-01-27 03:08:00,sensor,70.89,traffic
O00227,Z05,2023-02-01 03:06:00,sensor,60.64,other
O00228,Z03,2023-01-25 14:23:00,report,49.22,other
O00229,Z12,2023-02-16 04:56:00,report,52.85,traffic
O00230,Z08,2023-02-09 13:17:00,sensor,66.8,event
O00231,Z04,2023-01-29 14:15:00,report,52.7,traffic
O00232,Z11,2023-01-24 17:57:00,report,62.16,traffic
O00233,Z07,2023-01-18 06:07:00,report,60.46,traffic
O00234,Z11,2023-01-14 20:40:00,sensor,53.48,traffic
O00235,Z06,2023-01-16 04:50:00,sensor,81.44,traffic
O00236,Z09,2023-01-14 18:13:00,sensor,66.34,event
O00237,Z03,2023-02-20 19:00:00,report,39.75,construction
O00238,Z03,2023-02-04 08:51:00,sensor,61.86,traffic
O00239,Z11,2023-02-25 00:08:00,sensor,53.38,event
O00240,Z04,2023-02-07 10:01:00,sensor,68.52,event
O00241,Z01,2023-01-09 23:26:00,sensor,52.07,traffic
O00242,Z08,2023-01-29 11:32:00,sensor,58.85,music
O00243,Z09,2023-01-15 19:02:00,report,65.05,music
O00244,Z11,2023-01-02 01:30:00,report,68.66,music
O00245,Z11,2023-01-07 15:45:00,report,48.0,traffic
O00246,Z02,2023-01-21 19:09:00,sensor,56.65,construction
O00247,Z05,2023-02-09 20:37:00,report,55.25,music
O00248,Z10,2023-02-03 09:29:00,report,53.47,traffic
O00249,Z12,2023-01-08 20:41:00,sensor,77.65,music
O00250,Z08,2023-01-15 13:21:00,report,64.05,music
O00251,Z07,2023-02-16 03:20:00,report,47.39,event
O00252,Z11,2023-01-17 11:09:00,report,69.18,traffic
O00253,Z02,2023-02-23 02:05:00,report,81.22,traffic
O00254,Z12,2023-02-17 11:51:00,sensor,70.32,other
O00255,Z01,2023-02-07 17:35:00,report,44.81,traffic
O00256,Z07,2023-01-23 21:48:00,report,55.16,traffic
O00257,Z05,2023-02-08 09:22:00,sensor,72.67,other
O00258,Z09,2023-01-14 04:42:00,report,52.92,construction
O00259,Z02,2023-01-23 17:23:00,sensor,64.44,event
O00260,Z10,2023-01-15 13:54:00,sensor,67.75,other
O00261,Z11,2023-02-23 22:17:00,sensor,50.73,construction
O00262,Z05,2023-02-14 09:58:00,report,59.4,event
O00263,Z01,2023-01-12 04:36:00,report,27.59,traffic
O00264,Z03,2023-02-17 20:01:00,sensor,49.76,other
O00265,Z04,2023-01-25 13:29:00,report,57.47,construction
O00266,Z06,2023-01-20 23:20:00,sensor,47.52,traffic
O00267,Z03,2023-01-11 19:03:00,sensor,76.32,event
O00268,Z08,2023-02-12 13:31:00,report,45.7,music
O00269,Z05,2023-01-14 16:07:00,report,55.6,music
O00270,Z02,2023-01-19 21:43:00,report,61.31,other
O00271,Z11,2023-01-20 01:14:00,report,74.41,other
O00272,Z01,2023-01-01 06:19:00,sensor,45.64,construction
O00273,Z05,2023-01-19 10:07:00,sensor,71.63,music
O00274,Z12,2023-01-28 05:08:00,report,60.1,other
O00275,Z12,2023-01-15 16:35:00,report,50.18,traffic
O00276,Z07,2023-02-25 23:02:00,report,64.62,traffic
O00277,Z08,2023-01-05 10:36:00,report,61.99,other
O00278,Z07,2023-02-15 20:26:00,report,54.0,traffic
O00279,Z07,2023-01-02 10:10:00,report,60.7,event
O00280,Z02,2023-01-28 03:15:00,report,56.15,other
O00281,Z07,2023-02-03 02:25:00,report,61.14,event
O00282,Z04,2023-01-22 05:04:00,sensor,66.62,other
O00283,Z09,2023-01-13 11:22:00,sensor,75.86,construction
O00284,Z02,2023-01-10 08:12:00,sensor,47.62,other
O00285,Z03,2023-02-18 20:04:00,sensor,81.33,music
O00286,Z08,2023-02-18 18:48:00,report,40.48,other
O00287,Z11,2023-02-10 19:20:00,report,58.48,construction
O00288,Z08,2023-01-05 15:28:00,report,65.88,event
O00289,Z10,2023-01-04 11:32:00,sensor,62.81,event
O00290,Z08,2023-01-29 01:03:00,report,53.77,event
O00291,Z02,2023-02-11 02:39:00,report,57.92,music
O00292,Z10,2023-02-05 23:57:00,sensor,55.07,music
O00293,Z10,2023-02-11 06:20:00,report,54.11,other
O00294,Z03,2023-01-04 14:06:00,report,68.5,traffic
O00295,Z09,2023-02-11 05:02:00,sensor,63.57,music
O00296,Z08,2023-02-03 16:39:00,sensor,53.07,event
O00297,Z06,2023-01-19 12:26:00,report,69.0,other
O00298,Z01,2023-02-20 20:41:00,report,63.07,traffic
O00299,Z06,2023-01-07 17:43:00,report,68.13,event
O00300,Z05,2023-02-16 21:58:00,sensor,66.3,event
O00301,Z02,2023-02-07 21:09:00,report,51.71,event
O00302,Z11,2023-02-14 21:25:00,sensor,54.4,other
O00303,Z12,2023-01-06 09:35:00,report,67.47,event
O00304,Z03,2023-02-12 22:53:00,sensor,66.1,music
O00305,Z09,2023-01-24 00:23:00,report,59.79,construction
O00306,Z04,2023-01-22 15:12:00,sensor,61.17,construction
O00307,Z03,2023-01-05 09:54:00,sensor,72.78,other
O00308,Z09,2023-02-23 23:56:00,sensor,54.08,event
O00309,Z10,2023-01-09 19:24:00,sensor,65.47,construction
O00310,Z03,2023-02-23 22:49:00,sensor,57.98,music
O00311,Z01,2023-01-27 11:43:00,sensor,57.82,music
O00312,Z10,2023-01-19 23:50:00,report,70.99,construction
O00313,Z09,2023-01-16 09:51:00,report,68.25,construction
O00314,Z06,2023-02-13 18:28:00,report,68.14,event
O00315,Z07,2023-02-02 16:26:00,sensor,73.05,construction
O00316,Z10,2023-01-09 08:03:00,report,60.21,event
O00317,Z09,2023-01-07 22:54:00,sensor,66.82,event
O00318,Z02,2023-02-18 05:17:00,report,56.9,other
O00319,Z03,2023-02-23 13:05:00,sensor,63.24,music
O00320,Z06,2023-01-02 13:03:00,report,58.7,other
O00321,Z06,2023-01-16 12:05:00,report,60.97,construction
O00322,Z01,2023-01-21 03:53:00,report,65.95,construction
O00323,Z03,2023-01-03 09:58:00,report,51.82,construction
O00324,Z12,2023-01-31 14:39:00,sensor,80.92,traffic
O00325,Z01,2023-01-17 06:53:00,sensor,49.94,other
O00326,Z12,2023-02-08 16:27:00,sensor,47.86,event
O00327,Z04,2023-01-20 03:03:00,sensor,71.58,music
O00328,Z11,2023-02-20 19:29:00,sensor,67.92,traffic
O00329,Z08,2023-02-08 17:01:00,sensor,66.24,construction
O00330,Z05,2023-01-28 00:39:00,report,66.28,construction
O00331,Z10,2023-01-27 05:42:00,sensor,59.88,other
O00332,Z06,2023-01-05 16:34:00,sensor,51.03,music
O00333,Z08,2023-01-03 20:24:00,report,60.76,event
O00334,Z12,2023-01-02 11:50:00,sensor,53.23,event
O00335,Z04,2023-02-16 21:40:00,sensor,69.75,other
O00336,Z12,2023-02-18 10:08:00,sensor,58.53,event
O00337,Z09,2023-01-22 20:11:00,report,51.75,music
O00338,Z11,2023-01-12 04:04:00,report,56.79,traffic
O00339,Z05,2023-01-13 01:50:00,sensor,64.13,traffic
O00340,Z06,2023-01-20 16:25:00,report,54.36,event
O00341,Z01,2023-02-18 20:12:00,report,51.78,event
O00342,Z01,2023-02-25 20:21:00,report,62.44,traffic
O00343,Z06,2023-01-28 12:47:00,report,62.45,music
O00344,Z06,2023-01-12 15:44:00,report,54.93,event
O00345,Z09,2023-01-18 02:46:00,report,55.29,traffic
O00346,Z07,2023-02-08 05:34:00,report,62.32,event
O00347,Z02,2023-01-06 10:42:00,report,45.52,event
O00348,Z08,2023-02-08 22:27:00,sensor,45.93,music
O00349,Z06,2023-01-29 01:46:00,report,52.82,other
O00350,Z07,2023-01-18 20:50:00,sensor,57.87,traffic
O00351,Z11,2023-02-10 12:23:00,sensor,63.11,traffic
O00352,Z03,2023-02-24 19:43:00,report,74.75,traffic
O00353,Z03,2023-01-05 07:49:00,report,68.58,event
O00354,Z07,2023-02-06 01:38:00,sensor,58.4,music
O00355,Z06,2023-01-24 14:48:00,sensor,59.81,other
O00356,Z03,2023-02-03 11:25:00,report,49.97,event
O00357,Z04,2023-01-08 00:47:00,sensor,59.81,music
O00358,Z09,2023-01-25 17:07:00,report,57.11,event
O00359,Z12,2023-01-29 06:39:00,report,63.23,music
O00360,Z04,2023-01-08 04:54:00,sensor,51.73,music
O00361,Z03,2023-02-15 14:05:00,report,65.19,event
O00362,Z12,2023-01-05 17:34:00,report,75.33,event
O00363,Z03,2023-02-15 22:59:00,sensor,58.91,event
O00364,Z09,2023-01-15 03:12:00,sensor,64.02,construction
O00365,Z08,2023-01-02 11:35:00,report,66.9,music
O00366,Z09,2023-01-09 19:56:00,sensor,55.99,traffic
O00367,Z05,2023-01-26 22:46:00,report,62.24,other
O00368,Z07,2023-02-19 13:52:00,sensor,60.13,construction
O00369,Z06,2023-02-11 02:28:00,report,60.98,other
O00370,Z06,2023-01-09 17:40:00,sensor,52.27,construction
O00371,Z07,2023-02-02 01:53:00,sensor,60.25,other
O00372,Z03,2023-01-20 05:10:00,report,64.98,construction
O00373,Z06,2023-02-03 09:54:00,sensor,74.51,event
O00374,Z04,2023-02-10 17:17:00,sensor,69.59,event
O00375,Z10,2023-02-04 02:32:00,sensor,81.53,other
O00376,Z10,2023-01-10 05:42:00,report,52.33,other
O00377,Z01,2023-02-22 00:05:00,sensor,68.72,other
O00378,Z05,2023-02-11 06:49:00,report,61.83,other
O00379,Z11,2023-01-02 15:56:00,report,81.9,event
O00380,Z08,2023-01-16 21:25:00,report,51.92,music
O00381,Z02,2023-02-14 01:10:00,report,51.6,music
O00382,Z08,2023-01-30 06:21:00,sensor,54.01,event
O00383,Z12,2023-01-21 23:55:00,report,38.76,music
O00384,Z03,2023-02-18 11:32:00,sensor,54.74,event
O00385,Z04,2023-01-30 03:17:00,report,52.41,construction
O00386,Z03,2023-01-07 01:18:00,report,61.5,other
O00387,Z07,2023-01-16 05:52:00,report,63.42,other
O00388,Z12,2023-01-21 06:48:00,sensor,78.76,music
O00389,Z09,2023-01-30 15:56:00,report,69.5,music
O00390,Z01,2023-01-06 12:32:00,report,54.23,construction
O00391,Z04,2023-02-07 11:03:00,sensor,51.02,event
O00392,Z08,2023-02-08 20:43:00,report,64.92,event
O00393,Z09,2023-01-01 03:27:00,sensor,46.8,event
O00394,Z12,2023-01-24 12:23:00,sensor,78.31,music
O00395,Z01,2023-02-06 17:12:00,report,71.79,other
O00396,Z05,2023-01-05 12:32:00,report,55.31,other
O00397,Z05,2023-02-22 19:43:00,sensor,42.87,construction
O00398,Z02,2023-01-26 11:50:00,report,73.54,other
O00399,Z06,2023-02-18 04:12:00,report,58.85,other
O00400,Z01,2023-01-03 01:08:00,report,72.38,music
O00401,Z09,2023-01-30 04:38:00,sensor,44.06,event
O00402,Z10,2023-01-21 05:25:00,report,54.01,other
O00403,Z06,2023-02-02 16:34:00,report,60.05,other
O00404,Z05,2023-01-31 00:23:00,report,60.47,traffic
O00405,Z07,2023-02-07 09:50:00,sensor,55.5,other
O00406,Z08,2023-01-17 20:50:00,sensor,66.23,traffic
O00407,Z10,2023-01-31 05:33:00,report,49.32,construction
O00408,Z11,2023-01-16 01:36:00,sensor,58.58,construction
O00409,Z01,2023-01-29 10:26:00,sensor,61.2,music
O00410,Z12,2023-01-14 13:32:00,report,65.14,traffic
O00411,Z12,2023-01-09 16:13:00,report,67.12,music
O00412,Z09,2023-01-25 10:11:00,report,48.75,other
O00413,Z06,2023-02-04 11:43:00,report,44.66,other
O00414,Z08,2023-01-13 07:17:00,report,72.78,construction
O00415,Z05,2023-02-19 09:45:00,sensor,63.32,music
O00416,Z06,2023-01-31 11:35:00,report,52.52,event
O00417,Z02,2023-02-06 21:34:00,report,75.51,music
O00418,Z06,2023-02-19 04:18:00,sensor,61.16,event
O00419,Z12,2023-01-06 11:59:00,report,71.79,event
O00420,Z12,2023-01-31 06:12:00,report,60.68,other
O00421,Z12,2023-01-18 04:06:00,sensor,80.61,construction
O00422,Z01,2023-02-12 16:14:00,sensor,77.55,traffic
O00423,Z02,2023-01-27 10:45:00,report,57.51,traffic
O00424,Z11,2023-02-19 04:00:00,sensor,69.72,music
O00425,Z11,2023-01-31 15:41:00,sensor,66.45,event
O00426,Z06,2023-01-19 20:03:00,sensor,73.69,other
O00427,Z04,2023-02-04 23:46:00,sensor,50.35,construction
O00428,Z07,2023-02-23 05:59:00,sensor,66.86,music
O00429,Z08,2023-01-12 23:55:00,report,70.58,traffic
O00430,Z01,2023-01-20 18:38:00,sensor,42.41,event
O00431,Z05,2023-01-30 20:34:00,report,48.17,construction
O00432,Z09,2023-01-30 08:12:00,sensor,39.61,event
O00433,Z03,2023-02-16 14:41:00,report,57.31,construction
O00434,Z01,2023-02-17 10:50:00,report,67.18,other
O00435,Z11,2023-02-18 06:11:00,report,75.02,music
O00436,Z09,2023-01-21 02:25:00,sensor,60.74,construction
O00437,Z03,2023-01-31 10:59:00,sensor,76.29,traffic
O00438,Z05,2023-01-25 07:28:00,report,46.2,event
O00439,Z05,2023-02-07 23:36:00,sensor,42.97,event
O00440,Z11,2023-01-24 22:15:00,sensor,59.44,traffic
O00441,Z08,2023-01-20 05:25:00,report,63.84,traffic
O00442,Z11,2023-01-19 11:39:00,sensor,59.67,construction
O00443,Z03,2023-01-31 04:29:00,report,39.33,music
O00444,Z12,2023-02-05 15:48:00,sensor,59.11,construction
O00445,Z11,2023-02-18 19:55:00,sensor,46.96,other
O00446,Z08,2023-02-03 22:23:00,sensor,66.7,other
O00447,Z02,2023-01-04 17:57:00,sensor,63.67,other
O00448,Z09,2023-01-10 05:20:00,report,50.6,traffic
O00449,Z11,2023-01-14 22:37:00,report,54.86,traffic
O00450,Z09,2023-01-29 01:29:00,sensor,49.41,other
O00451,Z07,2023-01-30 18:03:00,report,59.37,event
O00452,Z12,2023-01-02 12:16:00,sensor,69.55,construction
O00453,Z10,2023-01-05 01:27:00,report,50.14,traffic
O00454,Z09,2023-01-04 02:59:00,report,65.04,traffic
O00455,Z05,2023-01-27 05:49:00,sensor,54.7,music
O00456,Z06,2023-01-25 14:55:00,report,52.07,music
O00457,Z02,2023-02-13 21:55:00,sensor,58.93,event
